Close
212,41
211,14
210,01
209,95
213,55
212,44
207,82
205,17
201,08
201
201,56
200,3
201,5
201
196,58
195,64
198,42
196,45
199,2
198,78
202,67
201,45
203,92
200,63
202,82
203,27
201,7
200,85
199,95
200,42
200,21
195,27
201,36
202,09
206,86
208,78
211,26
211,45
212,33
212,93
210,79
198,53
197,49
196,25
198,51
198,89
205,35
213,32
212,5
211,21
210,14
209,28
208,37
204,6
199,74
193,16
196,98
194,27
202,14
202,52
198,15
190,42
198,85
172,42
181,46
188,38
203,19
223,89
223,19
222,13
217,9
223,85
221,53
223,75
220,73
218,27
214,1
215,24
212,69
214
213,49
209,68
216,98
220,84
227,48
239,07
235,33
235,74
235,93
238,03
241,84
237,3
240,36
247,04
247,1
245,55
245,83
244,87
244,47
244,6
241,53
236,87
232,62
227,65
227,63
233,22
232,47
232,8
228,01
236
237,59
239,36
238,26
229,86
222,78
223,66
223,83
222,64
229,98
228,26
237,87
233,28
234,4
236,85
242,7
242,21
245
243,36
243,85
250,42
252,2
255,59
259,02
258,2
255,27
254,49
249,79
248,05
253,48
251,04
248,13
247,96
246,49
247,77
246,75
242,84
243,04
243,01
242,65
239,59
237,33
234,93
235,06
232,87
229,87
228,52
229
228,28
228,02
225
228,22
225,12
224,23
224,23
226,96
227,48
222,72
223,45
222,01
222,91
225,91
230,1
233,67
233,4
231,41
230,57
230,76
235,86
236,48
235
232,15
231,78
233,85
231,3
227,55
229,04
229,54
225,77
221,69
226,8
225,67
226,78
226,21
233
227,79
227,52
226,37
227,37
226,47
228,2
228,87
220,69
216,79
216,32
222,5
222,77
222,66
220,11
220,91
220,82
222,38
220,85
222,77
229
229,79
226,49
228,03
227,18
226,84
224,53
226,4
226,51
225,89
226,05
224,72
221,72
221,27
217,53
216,24
213,31
209,82
207,23
209,27
219,86
218,36
222,08
218,8
218,24
217,96
217,49
218,54
225,01
223,96
224,31
224,18
228,88
234,82
234,4
230,54
227,57
232,98
228,68
227,82
226,34
221,55
220,27
216,75
210,62
214,1
213,25
209,07
208,14
207,49
209,68
214,29
216,67
212,49
214,24
213,07
207,15
193,12
196,89
194,48
195,87
194,35
194,03
192,25
191,29
190,29
189,99
189,98
186,88
190,9
192,35
191,04
189,87
189,84
189,72
187,43
186,28
183,05
184,57
182,74
182,4
181,71
183,38
173,03
169,3
170,33
173,5
169,3
169,89
169,02
166,9
165,84
165
167,04
168
169,38
172,69
176,55
175,04
167,78
169,67
168,45
169,58
168,82
169,65
168,84
170,03
171,48
173,31
169,71
170,85
172,28
171,37
178,67
176,08
173,72
172,62
173
171,13
173,23
172,75
170,73
169
169,12
170,12
175,1
179,66
180,75
181,42
182,63
181,16
182,52
184,37
182,32
181,56
182,31
183,86
184,15
185,04
187,15
188,85
188,32
189,41
189,3
187,68
185,85
186,86
184,4
188,04
191,73
192,42
194,17
194,5
195,18
193,89
191,56
188,63
182,68
183,63
185,92
185,59
186,19
185,14
185,56
181,18
181,91
184,25
185,64
192,53
193,58
193,15
193,05
193,6
194,68
194,83
196,94
195,89
197,57
198,11
197,96
194,71
193,18
195,71
194,27
192,32
193,42
189,43
191,24
189,95
189,37
190,4
189,79
189,97
191,31
190,64
191,45
189,69
189,71
188,01
187,44
184,8
186,4
182,41
182,89
181,82
179,23
176,65
177,57
173,97
170,77
170,29
168,22
166,89
171,1
173,44
173
172,88
175,46
175,84
177,15
178,72
178,85
180,71
179,8
178,39
178,99
177,49
174,91
173,66
172,4
173,75
171,21
170,69
170,43
171,96
176,08
174,79
173,93
175,49
179,07
177,97
175,01
175,74
174,21
176,3
179,36
178,18
177,56
182,91
189,7
189,46
187,87
187,65
184,12
180,19
178,61
176,38
181,12
177,23
175,84
174,49
174
176,57
177,45
179,46
177,79
177,97
178,19
179,8
178,85
181,99
191,17
192,58
195,6
196,45
195,83
193,22
194,5
193,62
192,75
191,94
193,13
195,1
193,73
193,99
190,69
190,54
189,77
188,08
188,61
190,68
191,81
191,33
192,46
193,97
189,59
189,25
188,06
185,27
186,68
187
183,96
185,01
184,92
186,01
183,95
183,31
183,79
180,96
180,57
177,82
179,21
179,58
180,95
180,09
177,25
177,3
175,43
172,99
171,84
171,56
174,2
175,16
175,05
172,69
172,07
172,07
172,57
173,75
173,55
171,77
173,5
173,57
165,79
167,45
168,54
169,59
169,68
168,41
163,76
163,77
165,33
165,02
166,65
167,63
166,47
165,23
165,21
165,56
160,1
160,8
162,03
164,66
163,76
165,63
166,17
164,9
162,36
160,77
157,65
158,28
160,25
158,93
157,83
159,28
157,4
155
155,85
152,99
152,59
150,47
148,5
150,59
152,87
151,6
153,83
151,03
145,91
145,31
147,41
147,92
146,71
149,4
148,91
148,48
152,55
153,71
155,33
153,2
153,85
151,01
150,87
151,92
154,65
151,73
154,5
150,82
145,43
144,29
143
145,93
143,96
141,86
142,53
141,11
137,87
135,27
135,21
135,94
134,76
133,41
133,49
130,73
130,15
129,62
125,02
126,36
125,07
129,93
129,61
126,04
130,03
131,86
132,23
135,45
132,3
132,37
134,51
136,5
143,21
145,47
144,49
142,16
142,65
140,94
142,91
146,63
147,81
148,31
148,03
141,17
144,22
148,11
151,07
150,18
148,01
151,29
150,72
148,79
150,04
148,28
149,7
146,87
134,87
139,5
138,92
138,38
138,88
145,03
150,65
153,34
155,74
144,8
149,35
152,34
149,45
147,27
143,39
143,86
143,75
142,41
138,38
142,99
138,34
138,98
140,42
140,09
145,43
146,4
146,1
142,45
138,2
142,48
149,84
