Data;Close;
19/02/2020;80.90;
18/02/2020;79.75;
14/02/2020;81.23;
13/02/2020;81.21;
12/02/2020;81.80;
11/02/2020;79.90;
10/02/2020;80.38;
07/02/2020;80.00;
06/02/2020;81.30;
05/02/2020;80.36;
04/02/2020;79.71;
03/02/2020;77.16;
31/01/2020;77.37;
30/01/2020;80.96;
29/01/2020;81.08;
28/01/2020;79.42;
27/01/2020;77.23;
24/01/2020;79.57;
23/01/2020;79.80;
22/01/2020;79.42;
21/01/2020;79.14;
17/01/2020;79.68;
16/01/2020;78.81;
15/01/2020;77.83;
14/01/2020;78.17;
13/01/2020;79.24;
10/01/2020;77.58;
09/01/2020;77.40;
08/01/2020;75.79;
07/01/2020;74.59;
