Date;Close;;;;;;
10/07/2025;1250.59;;;;;;
09/07/2025;1288.28;;;;;;
08/07/2025;1275.31;;;;;;
07/07/2025;1289.62;;;;;;
03/07/2025;1297.18;;;;;;
02/07/2025;1284.86;;;;;;
01/07/2025;1293.60;;;;;;
30/06/2025;1339.13;;;;;;
27/06/2025;1323.12;;;;;;
26/06/2025;1306.67;;;;;;
25/06/2025;1275.25;;;;;;
24/06/2025;1279.11;;;;;;
23/06/2025;1253.54;;;;;;
20/06/2025;1231.41;;;;;;
18/06/2025;1222.29;;;;;;
17/06/2025;1220.67;;;;;;
16/06/2025;1225.35;;;;;;
13/06/2025;1212.15;;;;;;
12/06/2025;1215.03;;;;;;
11/06/2025;1219.88;;;;;;
10/06/2025;1203.62;;;;;;
09/06/2025;1224.46;;;;;;
06/06/2025;1241.47;;;;;;
05/06/2025;1250.52;;;;;;
04/06/2025;1239.66;;;;;;
03/06/2025;1217.94;;;;;;
02/06/2025;1218.98;;;;;;
30/05/2025;1207.23;;;;;;
29/05/2025;1184.86;;;;;;
28/05/2025;1208.55;;;;;;
27/05/2025;1211.57;;;;;;
23/05/2025;1185.39;;;;;;
22/05/2025;1187.97;;;;;;
21/05/2025;1194.63;;;;;;
20/05/2025;1192.02;;;;;;
19/05/2025;1191.64;;;;;;
16/05/2025;1191.53;;;;;;
15/05/2025;1177.98;;;;;;
14/05/2025;1150.99;;;;;;
13/05/2025;1138.44;;;;;;
12/05/2025;1110.00;;;;;;
09/05/2025;1140.22;;;;;;
08/05/2025;1144.43;;;;;;
07/05/2025;1155.41;;;;;;
06/05/2025;1137.69;;;;;;
05/05/2025;1134.06;;;;;;
02/05/2025;1156.49;;;;;;
01/05/2025;1133.47;;;;;;
30/04/2025;1131.72;;;;;;
29/04/2025;1125.64;;;;;;
28/04/2025;1110.38;;;;;;
25/04/2025;1101.53;;;;;;
24/04/2025;1096.87;;;;;;
23/04/2025;1049.59;;;;;;
22/04/2025;1040.34;;;;;;
21/04/2025;987.91;;;;;;
17/04/2025;973.03;;;;;;
16/04/2025;961.63;;;;;;
